address,LATITUDE,LONGITUDE
104 WHAMPOA DRIVE,1.3209752,103.8533906
104 WOODLANDS STREET 13,1.4364774,103.7815883
104A ANG MO KIO STREET 11,1.3714465,103.839167
104A CANBERRA STREET,1.4501917,103.8320591
104A DEPOT ROAD,1.2804667,103.8124645
104A EDGEFIELD PLAINS,1.3967885,103.9050439
104B ANG MO KIO STREET 11,1.3715376,103.8384659
104B CANBERRA STREET,1.4500693,103.8314609
104B DEPOT ROAD,1.2804931,103.8121163
104B EDGEFIELD PLAINS,1.396515,103.905388
104C CANBERRA STREET,1.4496953,103.8318173
104D CANBERRA STREET,1.4499652,103.8322271
105 ALJUNIED CRESCENT,1.3194705,103.8827437
105 ANG MO KIO AVENUE 4,1.3723473,103.8376005
105 BEDOK NORTH AVENUE 4,1.3336329,103.9364934
105 BEDOK RESERVOIR ROAD,1.3291696,103.9092157
105 BISHAN STREET 12,1.3458125,103.8473951
105 BUKIT BATOK CENTRAL,1.3486251,103.7471577
105 BUKIT PURMEI ROAD,1.2726252,103.824777
105 CLEMENTI STREET 12,1.322682,103.7698766
105 GANGSA ROAD,1.3783451,103.7677512
105 HENDERSON CRESCENT,1.2900626,103.8227088
105 JALAN RAJAH,1.328592,103.8540028
105 JURONG EAST STREET 13,1.3373596,103.738374
105 LENGKONG TIGA,1.3256314,103.9100681
105 PASIR RIS STREET 12,1.368341,103.9567466
105 POTONG PASIR AVENUE 1,1.3344949,103.8687127
105 RIVERVALE WALK,1.3821972,103.9007118
105 SERANGOON NORTH AVENUE 1,1.3701922,103.8701307
105 SIMEI STREET 1,1.3411909,103.9505387
105 TAMPINES STREET 11,1.3480601,103.9471208
105 TECK WHYE LANE,1.3776745,103.7532307
105 TOWNER ROAD,1.3206011,103.8610656
105 WOODLANDS STREET 13,1.4368599,103.7815858
105A BIDADARI PARK DRIVE,1.334054,103.8703281
105A DEPOT ROAD,1.2809679,103.811626
105A EDGEFIELD PLAINS,1.3970487,103.9058688
105B BIDADARI PARK DRIVE,1.3335365,103.8702691
105B EDGEFIELD PLAINS,1.3972507,103.9060398
105C EDGEFIELD PLAINS,1.3976953,103.9055954
105D EDGEFIELD PLAINS,1.3967868,103.9052195
106 ALJUNIED CRESCENT,1.3191431,103.8829515
106 ANG MO KIO AVENUE 4,1.3721004,103.8371851
106 BEDOK NORTH AVENUE 4,1.3344191,103.9370752
106 BEDOK RESERVOIR ROAD,1.3294904,103.9093789
